Year,Name,Location,Latitude,Longitude,Elevation,VEI
1800,Guntur,Java,-7.13,107.83,2249,
1800,Mayon,Luzon-Philippines,13.257,123.685,2462,2
1800,Kieyo,Africa-E,-9.23,33.78,2175,2
1800,St. Helens,US-Washington,46.2,-122.18,2549,5
1800,Hualalai,Hawaiian Is,19.692,-155.87,2523,0
1801,Chokai,Honshu-Japan,39.08,140.03,2237,2
1803,Asama,Honshu-Japan,36.4,138.53,2560,2
1803,Asama,Honshu-Japan,36.4,138.53,2560,2
1804,Shikotsu,Hokkaido-Japan,42.7,141.33,1320,3
1805,Vesuvius,Italy,40.821,14.426,1281,2
1812,Soufriere St. Vincent,W Indies,13.33,-61.18,1220,4
1812,Awu,Sangihe Is-Indonesia,3.67,125.5,1320,3
1813,Vesuvius,Italy,40.821,14.426,1281,2
1814,Mayon,Luzon-Philippines,13.257,123.685,2462,4
1815,Tambora,Lesser Sunda Is,-8.25,118,2850,7
1816,Aso,Kyushu-Japan,32.88,131.1,1592,2
1817,Ijen,Java,-8.058,114.242,2799,2
1817,Raung,Java,-8.125,114.042,3332,4
1818,Colima,Mexico,19.514,-103.62,3850,4
1819,Asuncion,Mariana Is-C Pacific,19.67,145.4,857,
1820,Westdahl,Aleutian Is,54.52,-164.65,1654,2
1820,Banda Api,Banda Sea,-4.525,129.871,640,2
1822,Usu,Hokkaido-Japan,42.53,140.83,731,4
1822,Galunggung,Java,-7.25,108.05,2168,5
1822,Merapi,Java,-7.542,110.442,2947,3
1823,Kilauea,Hawaiian Is,19.425,-155.292,1222,0
1824,Shishaldin,Aleutian Is,54.75,-163.97,2857,3
1825,Balbi,Bougainville-SW Paci,-5.83,154.98,2715,
1826,Dieng Volc Complex,Java,-7.2,109.92,2565,2
1826,Kelut,Java,-7.93,112.308,1731,3
1826,Aso,Kyushu-Japan,32.88,131.1,1592,2
1827,Avachinsky,Kamchatka,53.255,158.83,2741,2
1827,Avachinsky,Kamchatka,53.255,158.83,2741,2
1829,Guntur,Java,-7.13,107.83,2249,2
1832,Etna,Italy,37.734,15.004,3350,2
1832,Merapi,Java,-7.542,110.442,2947,3
1833,Kaba,Sumatra,-3.52,102.62,1952,2
1835,Cosiguina,Nicaragua,12.98,-87.57,872,5
1835,Banda Api,Banda Sea,-4.525,129.871,640,
1837,Peuet Sague,Sumatra,4.914,96.329,2801,
1838,Gamalama,Halmahera-Indonesia,0.8,127.325,1715,2
1839,Unnamed,Chile-Is,-33.62,-76.83,-642,2
1840,Gamalama,Halmahera-Indonesia,0.8,127.325,1715,2
1840,Kilauea,Hawaiian Is,19.425,-155.292,1222,0
1840,Ararat,Turkey,39.7,44.28,5165,3
1840,Savo,Solomon Is-SW Pacifi,-9.13,159.82,510,3
1840,Tinakula,Santa Cruz Is-SW Pac,-10.38,165.8,851,3
1841,Kuchinoerabu-jima,Ryukyu Is,30.43,130.22,649,2
1843,Liamuiga,W Indies,17.37,-62.8,1156,0
1843,Soufriere Guadeloupe,W Indies,16.05,-61.67,1467,
1843,Lamongan,Java,-8,113.342,1651,2
1843,Etna,Italy,37.734,15.004,3350,2
1845,Soputan,Sulawesi-Indonesia,1.108,124.725,1784,2
1845,Ruiz,Colombia,4.895,-75.322,5321,2
1845,Hekla,Iceland-S,63.98,-19.7,1491,4
1846,Taupo,New Zealand,-38.82,176,760,
1846,Tangkubanparahu,Java,-6.77,107.6,2084,2
1846,E-san,Hokkaido-Japan,41.8,141.17,618,1
1847,Fogo,Cape Verde Is,14.95,-24.35,2829,2
1847,Dieng Volc Complex,Java,-7.2,109.92,2565,2
1848,Kelut,Java,-7.93,112.308,1731,2
1850,Rabaul,New Britain-SW Pac,-4.271,152.203,688,2
1853,Niuafo'ou,Tonga-SW Pacific,-15.6,-175.63,260,0
1853,Mayon,Luzon-Philippines,13.257,123.685,2462,3
1853,Unnamed,Taiwan-E of,24,121.83,0,2
1854,Shiveluch,Kamchatka,56.653,161.36,3283,5
1854,Aso,Kyushu-Japan,32.88,131.1,1592,2
1854,Alaid,Kuril Is,50.858,155.55,2339,3
1856,Awu,Sangihe Is-Indonesia,3.67,125.5,1320,3
1856,Shishaldin,Aleutian Is,54.75,-163.97,2857,
1856,Komaga-take,Hokkaido-Japan,42.07,140.68,1140,4
1857,Umboi,New Guinea-NE of,-5.589,147.875,1548,
1858,Mayon,Luzon-Philippines,13.257,123.685,2462,2
1858,Tate-yama,Honshu-Japan,36.57,137.6,2621,
1858,Tate-yama,Honshu-Japan,36.57,137.6,2621,
1860,Semeru,Java,-8.108,112.92,3676,2
1860,Fuego,Guatemala,14.473,-90.88,3763,2
1860,Grimsvotn,Iceland-NE,64.42,-17.33,1725,
1861,Dubbi,Africa-NE,13.58,41.808,1625,3
1861,Grimsvotn,Iceland-NE,64.42,-17.33,1725,2
1861,Makian,Halmahera-Indonesia,0.32,127.4,1357,4
1863,Yasur,Vanuatu-SW Pacific,-19.52,169.425,361,
1864,Kelut,Java,-7.93,112.308,1731,2
1866,Santorini,Greece,36.404,25.396,329,2
1866,Ofu-Olosega,Samoa-SW Pacific,-14.175,-169.618,639,2
1867,Zao,Honshu-Japan,38.15,140.45,1841,2
1868,Mauna Loa,Hawaiian Is,19.475,-155.608,4170,2
1868,Etna,Italy,37.734,15.004,3350,
1869,Lewotobi,Lesser Sunda Is,-8.53,122.775,1703,2
1869,Lamongan,Java,-8,113.342,1651,2
1870,Ruang,Sangihe Is-Indonesia,2.28,125.425,725,2
1870,Iliwerung,Lesser Sunda Is,-8.54,123.59,1018,3
1870,Aoba,Vanuatu-SW Pacific,-15.4,167.83,1496,2
1871,Ruang,Sangihe Is-Indonesia,2.28,125.425,725,2
1871,Camiguin,Mindanao-Philippines,9.203,124.673,1332,2
1871,Gamalama,Halmahera-Indonesia,0.8,127.325,1715,2
1871,Mayon,Luzon-Philippines,13.257,123.685,2462,3
1872,Merapi,Java,-7.542,110.442,2947,4
1872,Merapi,Java,-7.542,110.442,2947,4
1872,Vesuvius,Italy,40.821,14.426,1281,3
1872,Merapi,Java,-7.542,110.442,2947,4
1872,Aso,Kyushu-Japan,32.88,131.1,1592,3
1872,Sinarka,Kuril Is,48.875,154.175,934,4
1873,Ragang,Mindanao-Philippines,7.67,124.5,2815,2
1873,Vesuvius,Italy,40.821,14.426,1281,
1874,Miyake-jima,Izu Is-Japan,34.08,139.53,815,3
1874,Taal,Luzon-Philippines,14.002,120.993,400,2
1875,Kelut,Java,-7.93,112.308,1731,0
1875,Askja,Iceland-NE,65.03,-16.75,1516,5
1875,Mayon,Luzon-Philippines,13.257,123.685,2462,
1877,Mauna Loa,Hawaiian Is,19.475,-155.608,4170,0
1877,Cotopaxi,Ecuador,-0.677,-78.436,5911,4
1878,Yasur,Vanuatu-SW Pacific,-19.52,169.425,361,3
1878,Rabaul,New Britain-SW Pac,-4.271,152.203,688,3
1878,Yasur,Vanuatu-SW Pacific,-19.52,169.425,361,
1878,Okmok,Aleutian Is,53.42,-168.13,1073,2
1879,Stromboli,Italy,38.789,15.213,926,2
1883,Karthala,Indian O-W,-11.75,43.38,2361,2
1883,Krakatau,Indonesia,-6.102,105.423,813,6
1883,Augustine,Alaska-SW,59.37,-153.42,1252,4
1883,Krakatau,Indonesia,-6.102,105.423,813,
1883,Bagana,Bougainville-SW Paci,-6.14,155.195,1750,3
1884,Krakatau,Indonesia,-6.102,105.423,813,
1885,Semeru,Java,-8.108,112.92,3676,2
1885,Purace,Colombia,2.32,-76.4,4650,3
1886,Tungurahua,Ecuador,-1.467,-78.442,5023,4
1886,Okataina,New Zealand,-38.12,176.5,1111,2
1886,Niuafo'ou,Tonga-SW Pacific,-15.6,-175.63,260,4
1887,Mayon,Luzon-Philippines,13.257,123.685,2462,3
1888,Ritter Island,New Guinea-NE of,-5.52,148.121,140,3
1888,Bandai,Honshu-Japan,37.6,140.08,1819,4
1889,Banua Wuhu,Sangihe Is-Indonesia,3.138,125.491,-5,2
1890,Makian,Halmahera-Indonesia,0.32,127.4,1357,2
1890,Victory,New Guinea,-9.2,149.07,1925,2
1892,Sorikmarapi,Sumatra,0.686,99.539,2145,2
1892,Awu,Sangihe Is-Indonesia,3.67,125.5,1320,3
1892,Tofua,Tonga-SW Pacific,-19.75,-175.07,512,2
1893,Calbuco,Chile-S,-41.326,-72.614,2003,4
1893,Azuma,Honshu-Japan,37.73,140.25,2024,2
1894,Ambrym,Vanuatu-SW Pacific,-16.25,168.12,1334,3
1895,Semeru,Java,-8.108,112.92,3676,2
1895,Karkar,New Guinea-NE of,-4.649,145.964,1839,2
1895,Kirishima,Kyushu-Japan,31.93,130.87,1700,2
1895,Dakataua,New Britain-SW Pac,-5.056,150.108,400,2
1896,Kirishima,Kyushu-Japan,31.93,130.87,1700,2
1897,Tinakula,Santa Cruz Is-SW Pac,-10.38,165.8,851,2
1897,Mayon,Luzon-Philippines,13.257,123.685,2462,3
1899,Dona Juana,Colombia,1.47,-76.92,4150,4
1899,Manam,New Guinea-NE of,-4.1,145.061,1807,2
1900,Asama,Honshu-Japan,36.4,138.53,2560,2
1900,Kirishima,Kyushu-Japan,31.93,130.87,1700,2
1900,Adatara,Honshu-Japan,37.62,140.28,1718,2
1900,Tullu Moje,Africa-NE,8.158,39.13,2349,
1901,Kelut,Java,-7.93,112.308,1731,3
1901,Epi,Vanuatu-SW Pacific,-16.68,168.37,833,
1902,Pelee,W Indies,14.82,-61.17,1397,
1902,Soufriere St. Vincent,W Indies,13.33,-61.18,1220,4
1902,Pelee,W Indies,14.82,-61.17,1397,4
1902,Pelee,W Indies,14.82,-61.17,1397,
1902,Tori-shima,Izu Is-Japan,30.48,140.32,403,3
1902,Pelee,W Indies,14.82,-61.17,1397,4
1902,Santa Maria,Guatemala,14.756,-91.552,3772,6
1902,Merapi,Java,-7.542,110.442,2947,2
1903,Okataina,New Zealand,-38.12,176.5,1111,1
1903,Karthala,Indian O-W,-11.75,43.38,2361,
1904,Karthala,Indian O-W,-11.75,43.38,2361,2
1905,Vesuvius,Italy,40.821,14.426,1281,2
1905,Savai'i,Samoa-SW Pacific,-13.612,-172.525,1858,2
1906,Vesuvius,Italy,40.821,14.426,1281,3
1907,Unnamed,Tonga-SW Pacific,-21.38,-175.65,-500,0
1907,Alayta,Africa-NE,12.88,40.57,1501,2
1907,Lewotobi,Lesser Sunda Is,-8.53,122.775,1703,2
1907,Savai'i,Samoa-SW Pacific,-13.612,-172.525,1858,
1909,Cameroon,,,,,
1909,Semeru,Java,-8.108,112.92,3676,2
1910,Taupo,New Zealand,-38.82,176,760,
1910,Usu,Hokkaido-Japan,42.53,140.83,731,2
1911,Taal,Luzon-Philippines,14.002,120.993,400,4
1911,Asama,Honshu-Japan,36.4,138.53,2560,2
1911,Asama,Honshu-Japan,36.4,138.53,2560,2
1911,Piparo,Trinidad,10,-61,140,
1911,Semeru,Java,-8.108,112.92,3676,3
1912,Novarupta,Alaska Peninsula,58.27,-155.16,841,6
1912,Nyamuragira,Africa-C,,,,
1913,Colima,Mexico,19.514,-103.62,3850,4
1913,Awu,Sangihe Is-Indonesia,3.67,125.5,1320,2
1913,Asama,Honshu-Japan,36.4,138.53,2560,1
1913,Semeru,Java,-8.108,112.92,3676,2
1913,Ambrym,Vanuatu-SW Pacific,-16.25,168.12,1334,3
1914,Sakura-jima,Kyushu-Japan,31.58,130.67,1117,4
1914,Pago,New Britain-SW Pac,-5.58,150.52,742,3
1914,White Island,New Zealand,-37.52,177.18,321,
1914,Aoba,Vanuatu-SW Pacific,-15.4,167.83,1496,
1916,Tungurahua,Ecuador,-1.467,-78.442,5023,4
1916,Stromboli,Italy,38.789,15.213,926,3
1917,Lengai,,,,,
1917,Okataina,New Zealand,-38.12,176.5,1111,1
1917,Calbuco,Chile-S,-41.326,-72.614,2003,3
1917,San Salvador,El Salvador,13.736,-89.286,1893,3
1918,Banua Wuhu,Sangihe Is-Indonesia,3.138,125.491,-5,3
1918,Katla,Iceland-S,63.63,-19.05,1512,4
1919,Popocatepetl,Mexico,19.023,-98.622,5426,1
1919,Banua Wuhu,Sangihe Is-Indonesia,3.138,125.491,-5,
1919,Kelut,Java,-7.93,112.308,1731,4
1919,Stromboli,Italy,38.789,15.213,926,3
1919,Nasu,Honshu-Japan,37.12,139.97,1917,
1919,Mauna Loa,Hawaiian Is,19.475,-155.608,4170,0
1920,Merapi,Java,-7.542,110.442,2947,3
1920,Izalco,El Salvador,13.813,-89.633,1950,3
1921,Nasu,Honshu-Japan,37.12,139.97,1917,
1923,Papandayan,Java,-7.32,107.73,2665,1
1923,Tangkubanparahu,Java,-6.77,107.6,2084,
1923,Kirishima,Kyushu-Japan,31.93,130.87,1700,2
1924,Kilauea,Hawaiian Is,19.425,-155.292,1222,2
1926,Tokachi,Hokkaido-Japan,43.42,142.68,2077,3
1927,Paluweh,Lesser Sunda Is,-8.32,121.708,875,
1927,Esjufjoll,Iceland-SE,64.27,-16.65,1760,1
1928,Santorini,Greece,36.404,25.396,329,2
1928,Mayon,Luzon-Philippines,13.257,123.685,2462,3
1928,Krakatau,Indonesia,-6.102,105.423,813,
1928,Dieng Volc Complex,Java,-7.2,109.92,2565,2
1928,Paluweh,Lesser Sunda Is,-8.32,121.708,875,3
1928,Etna,Italy,37.734,15.004,3350,1
1929,Calbuco,Chile-S,-41.326,-72.614,2003,3
1929,Komaga-take,Hokkaido-Japan,42.07,140.68,1140,4
1929,Etna,Italy,37.734,15.004,3350,2
1929,Santa Maria,Guatemala,14.756,-91.552,3772,3
1930,Krakatau,Indonesia,-6.102,105.423,813,2
1930,Asama,Honshu-Japan,36.4,138.53,2560,3
1930,Stromboli,Italy,38.789,15.213,926,3
1930,Merapi,Java,-7.542,110.442,2947,3
1931,Asama,Honshu-Japan,36.4,138.53,2560,3
1932,Fuego,Guatemala,14.473,-90.88,3763,4
1932,Merapi,Java,-7.542,110.442,2947,
1932,Kusatsu-Shirane,Honshu-Japan,36.62,138.55,2176,3
1933,Kharimkotan,Kuril Is,49.12,154.508,1145,3
1933,Hakone,Honshu-Japan,35.22,139.02,1438,
1933,Kuchinoerabu-jima,Ryukyu Is,30.43,130.22,649,4
1933,Bulusan,Luzon-Philippines,12.77,124.05,1565,2
1934,Hood,US-Oregon,45.374,-121.694,3426,
1936,Asama,Honshu-Japan,36.4,138.53,2560,3
1937,Llaima,Chile-C,-38.692,-71.729,3125,2
1937,Rabaul,New Britain-SW Pac,-4.271,152.203,688,4
1938,Nyamuragira,Africa-C,,,,
1938,Bandai,Honshu-Japan,37.6,140.08,1819,
1938,Mayon,Luzon-Philippines,13.257,123.685,2462,2
1938,Asama,Honshu-Japan,36.4,138.53,2560,1
1939,Tori-shima,Izu Is-Japan,30.48,140.32,403,2
1939,Dieng Volc Complex,Java,-7.2,109.92,2565,1
1940,Karangetang [Api Siau],Sangihe Is-Indonesia,2.78,125.48,1784,2
1940,Miyake-jima,Izu Is-Japan,34.08,139.53,815,2
1940,Lengai,,,,,
1941,Asama,Honshu-Japan,36.4,138.53,2560,2
1941,Semeru,Java,-8.108,112.92,3676,2
1943,Michoacan-Guanajuato,Mexico,19.48,-102.25,3860,4
1943,Azul,,,,,
1944,Vesuvius,Italy,40.821,14.426,1281,2
1944,Cleveland,Aleutian Is,52.82,-169.95,1730,3
1944,Usu,Hokkaido-Japan,42.53,140.83,731,2
1944,Stromboli,Italy,38.789,15.213,926,2
1944,Usu,Hokkaido-Japan,42.53,140.83,731,2
1944,Dieng Volc Complex,Java,-7.2,109.92,2565,2
1946,Sakura-jima,Kyushu-Japan,31.58,130.67,1117,2
1946,Semeru,Java,-8.108,112.92,3676,2
1946,Semeru,Java,-8.108,112.92,3676,2
1947,Mayon,Luzon-Philippines,13.257,123.685,2462,2
1947,Asama,Honshu-Japan,36.4,138.53,2560,2
1947,Akagi,Honshu-Japan,36.53,139.18,1828,
1947,Hekla,Iceland-S,63.98,-19.7,1491,4
1948,Iliwerung,Lesser Sunda Is,-8.54,123.59,1018,2
1949,Villarrica,Chile-C,-39.42,-71.93,2847,3
1949,Purace,Colombia,2.32,-76.4,4650,2
1949,Camiguin,Mindanao-Philippines,9.203,124.673,1332,3
1950,Semeru,Java,-8.108,112.92,3676,1
1950,Camiguin,Mindanao-Philippines,9.203,124.673,1332,3
1950,Asama,Honshu-Japan,36.4,138.53,2560,2
1951,Lamington,New Guinea,-8.95,148.15,1680,4
1951,Cosiguina,Nicaragua,12.98,-87.57,872,
1951,Kelut,Java,-7.93,112.308,1731,3
1951,Hakone,Honshu-Japan,35.22,139.02,1438,
1951,Camiguin,Mindanao-Philippines,9.203,124.673,1332,3
1951,Kavachi,Solomon Is-SW Pacifi,-9.02,157.95,-20,2
1952,Hakone,Honshu-Japan,35.22,139.02,1438,
1952,Myojun Knoll,Izu Is-Japan,32.1,139.85,360,2
1952,Myojun Knoll,Izu Is-Japan,32.1,139.85,360,2
1952,Myojun Knoll,Izu Is-Japan,32.1,139.85,360,2
1952,Myojun Knoll,Izu Is-Japan,32.1,139.85,360,2
1952,Ambalatungan Group,Luzon-Philippines,17.32,121.1,2329,1
1953,Myojun Knoll,Izu Is-Japan,32.1,139.85,360,2
1953,Merapi,Java,-7.542,110.442,2947,3
1953,Myojun Knoll,Izu Is-Japan,32.1,139.85,360,2
1953,Aso,Kyushu-Japan,32.88,131.1,1592,2
1953,St. Andrew Strait,Admiralty Is-SW Paci,-2.38,147.35,270,0
